
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
//
//						HEROES
//
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////
////////////////////////////////////////////////////////////////////////////////////////////////////////

///////////////////////////////////////////////////////
// Aeronaut
///////////////////////////////////////////////////////

	"npc_dota_hero_shredder"    "Aeronaut"


	"DOTA_Tooltip_ability_special_bonus_aeronaut_1"    "+200 Dashy Dashy Knockback/Distance"

	"DOTA_Tooltip_ability_special_bonus_aeronaut_5"    "+2s Upwind Fly Duration"

	"DOTA_Tooltip_ability_special_bonus_aeronaut_4"    "-0.2s Air Raid Interval"

	"DOTA_Tooltip_ability_special_bonus_aeronaut_2"    "+100 Aerial Ace Attack Speed"

	"DOTA_Tooltip_ability_aeronaut_upwind"    "Upwind"
	"DOTA_Tooltip_ability_aeronaut_upwind_Description"    "The Aeronaut creates a blast of air that knocks him and nearby enemies upwards, leaving them floating for a short time. Enemies affected take Pure damage, and while they are floating, they are Rooted. Meanwhile, the Aeronaut gains Flying movement and bonus attack range for a long duration."
	"DOTA_Tooltip_ability_aeronaut_upwind_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_aeronaut_upwind_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_aeronaut_upwind_duration"    "ROOT DURATION:"
	"DOTA_Tooltip_ability_aeronaut_upwind_bonus_attack_range"    "BONUS ATTACK RANGE:"
	"DOTA_Tooltip_ability_aeronaut_upwind_bonus_duration"    "EXTRA FLYING DURATION:"
		"DOTA_Tooltip_modifier_upwind_root"    "Rooted"
		"DOTA_Tooltip_modifier_upwind_root_description"    "You're floating in the air... cannot move!"

	"DOTA_Tooltip_ability_aeronaut_dashy_dashy"    "Dashy Dashy"
	"DOTA_Tooltip_ability_aeronaut_dashy_dashy_Description"    "The Aeronaut dashes forward. Any unit hit by him during the dash takes Pure damage, is mini-stunned, and stops the dash. The dash will only hit units on the same elevation as the user."
	"DOTA_Tooltip_ability_aeronaut_dashy_dashy_Lore"    "In his early days, the Aeronaut delegated the naming of his techniques to an ancient being, who, in his blocky, colourful and gravity-filled wisdom, named one Dashy Dashy."
	"DOTA_Tooltip_ability_aeronaut_dashy_dashy_damage"    "DAMAGE:"
	"DOTA_Tooltip_ability_aeronaut_dashy_dashy_radius"    "RADIUS:"
	"DOTA_Tooltip_ability_aeronaut_dashy_dashy_stun"    "STUN DURATION:"
	"DOTA_Tooltip_ability_aeronaut_dashy_dashy_knockback"    "KNOCKBACK:"
	"DOTA_Tooltip_ability_aeronaut_dashy_dashy_distance"    "DISTANCE:"

	"DOTA_Tooltip_ability_aeronaut_aerial_ace"    "Aerial Ace"
	"DOTA_Tooltip_ability_aeronaut_aerial_ace_Description"    "Gundalar's fighting prowess increases when he is airborne, granting him bonus movespeed and attack speed. Additionally, when striking grounded units while Flying, he deals bonus damage and slows them for a short time."
	"DOTA_Tooltip_ability_aeronaut_aerial_ace_bonus_movespeed"    "%BONUS MOVESPEED:"
